296.893, 130.581, 5.868,  9.567 False
296.332, 130.759, 5.994,  9.603 False
296.130, 130.835, 6.057,  9.820 False
295.540, 131.025, 6.284,  9.859 False
295.304, 131.099, 6.376,  9.962 False
294.700, 131.333, 6.529, 10.014 False
294.383, 131.459, 6.652, 10.109 False
293.776, 131.665, 6.863, 10.145 False
293.542, 131.747, 6.935, 10.242 False
292.906, 132.003, 7.115, 10.278 False
292.668, 132.098, 7.184, 10.377 False
291.996, 132.337, 7.187, 10.416 False
291.734, 132.427, 7.107, 10.512 False
291.109, 132.636, 6.778, 10.547 False
290.887, 132.709, 6.627, 10.650 False
290.283, 132.900, 6.186, 10.686 False
290.072, 132.964, 6.024, 10.783 False
289.535, 133.122, 5.679, 10.819 False
289.341, 133.177, 5.585, 11.033 False
288.811, 133.322, 5.432, 11.069 False
288.622, 133.370, 5.403, 11.162 False
288.131, 133.487, 5.403, 11.193 False
287.966, 133.523, 5.402, 11.293 False
287.434, 133.630, 5.419, 11.329 False
287.241, 133.665, 5.472, 11.420 False
286.740, 133.750, 5.663, 11.454 False
286.550, 133.778, 5.716, 11.542 False
286.048, 133.848, 5.796, 11.574 False
285.861, 133.870, 5.810, 11.662 False
285.351, 133.922, 5.842, 11.694 False
285.164, 133.938, 5.851, 11.777 False
284.675, 133.973, 5.889, 11.808 False
284.493, 133.981, 5.893, 11.910 False
283.902, 133.982, 5.915, 11.947 False
283.680, 133.974, 5.932, 12.177 False
283.079, 133.936, 6.054, 12.217 False
282.839, 133.918, 6.102, 12.329 False
282.228, 133.857, 6.163, 12.367 False
281.997, 133.836, 6.185, 12.461 False
281.413, 133.808, 6.224, 12.497 False
281.190, 133.799, 6.242, 12.588 False
280.616, 133.782, 6.335, 12.622 False
280.397, 133.772, 6.369, 12.731 False
279.763, 133.705, 6.383, 12.770 False
279.516, 133.672, 6.407, 12.875 False
278.879, 133.574, 6.465, 12.913 False
278.636, 133.534, 6.488, 13.027 False
277.994, 133.424, 6.537, 13.068 False
277.732, 133.374, 6.548, 13.317 False
277.090, 133.236, 6.589, 13.360 False
276.813, 133.171, 6.608, 13.470 False
276.168, 133.010, 6.660, 13.512 False
275.900, 132.937, 6.683, 13.619 False
275.255, 132.751, 6.736, 13.655 False
275.019, 132.681, 6.756, 13.766 False
274.370, 132.481, 6.809, 13.806 False
274.112, 132.399, 6.828, 13.912 False
273.462, 132.181, 6.875, 13.951 False
273.207, 132.095, 6.893, 14.064 False
272.551, 131.872, 6.944, 14.103 False
272.292, 131.784, 6.963, 14.223 False
271.630, 131.557, 7.014, 14.265 False
271.351, 131.460, 7.033, 14.503 False
270.683, 131.227, 7.089, 14.554 False
270.345, 131.107, 7.119, 14.672 False
269.671, 130.867, 7.181, 14.713 False
269.390, 130.765, 7.202, 14.826 False
268.711, 130.519, 7.250, 14.865 False
268.440, 130.427, 7.254, 14.983 False
267.743, 130.215, 7.290, 15.024 False
267.456, 130.134, 7.313, 15.139 False
266.745, 129.943, 7.384, 15.177 False
266.470, 129.875, 7.401, 15.289 False
265.744, 129.717, 7.442, 15.328 False
265.461, 129.660, 7.464, 15.448 False
264.724, 129.517, 7.525, 15.490 False
264.411, 129.461, 7.548, 15.738 False
263.663, 129.336, 7.602, 15.784 False
263.316, 129.283, 7.628, 15.902 False
262.557, 129.179, 7.684, 15.944 False
262.240, 129.138, 7.707, 16.067 False
261.472, 129.050, 7.758, 16.111 False
261.133, 129.014, 7.779, 16.230 False
260.355, 128.945, 7.830, 16.275 False
259.999, 128.917, 7.853, 16.391 False
259.212, 128.867, 7.906, 16.437 False
258.851, 128.847, 7.931, 16.554 False
258.056, 128.815, 7.984, 16.599 False
257.694, 128.805, 8.007, 16.715 False
256.890, 128.788, 8.064, 16.884 False
256.079, 128.781, 8.145, 17.004 False
255.257, 128.788, 8.261, 17.049 False
254.883, 128.794, 8.295, 17.163 False
254.054, 128.816, 8.300, 17.206 False
253.696, 128.830, 8.300, 17.324 False
252.867, 128.869, 8.315, 17.366 False
252.521, 128.887, 8.323, 17.487 False
251.690, 128.939, 8.338, 17.531 False
251.322, 128.965, 8.344, 17.644 False
250.491, 129.031, 8.350, 17.687 False
250.130, 129.063, 8.351, 17.804 False
249.299, 129.143, 8.356, 17.848 False
248.929, 129.174, 8.353, 18.091 False
248.096, 129.228, 8.348, 18.137 False
247.713, 129.249, 8.352, 18.255 False
246.878, 129.287, 8.359, 18.297 False
246.524, 129.301, 8.361, 18.413 False
245.688, 129.324, 8.360, 18.459 False
245.306, 129.339, 8.356, 18.579 False
244.472, 129.385, 8.351, 18.623 False
244.102, 129.400, 8.347, 18.737 False
243.268, 129.416, 8.346, 18.778 False
242.925, 129.420, 8.352, 18.898 False
242.089, 129.425, 8.359, 18.943 False
241.715, 129.431, 8.356, 19.060 False
240.880, 129.459, 8.347, 19.229 False
240.046, 129.473, 8.344, 19.350 False
239.212, 129.466, 8.340, 19.394 False
238.842, 129.466, 8.341, 19.509 False
238.008, 129.486, 8.339, 19.554 False
237.634, 129.491, 8.341, 19.672 False
236.800, 129.485, 8.343, 19.716 False
236.429, 129.481, 8.347, 19.827 False
235.594, 129.464, 8.351, 19.872 False
235.215, 129.461, 8.347, 19.988 False
234.381, 129.469, 8.339, 20.030 False
234.033, 129.474, 8.342, 20.141 False
233.198, 129.492, 8.348, 20.186 False
232.820, 129.496, 8.345, 20.420 False
231.986, 129.490, 8.338, 20.463 False
231.625, 129.485, 8.340, 20.585 False
230.791, 129.467, 8.344, 20.626 False
230.452, 129.463, 8.341, 20.784 False
229.619, 129.468, 8.335, 20.828 False
229.249, 129.472, 8.337, 20.943 False
228.415, 129.488, 8.342, 20.986 False
228.053, 129.492, 8.340, 21.103 False
227.220, 129.486, 8.335, 21.151 False
226.817, 129.481, 8.337, 21.263 False
225.983, 129.464, 8.341, 21.307 False
225.614, 129.460, 8.338, 21.539 False
224.780, 129.468, 8.331, 21.581 False
224.430, 129.473, 8.334, 21.703 False
223.597, 129.491, 8.340, 21.754 False
223.172, 129.495, 8.337, 21.868 False
222.338, 129.488, 8.332, 21.911 False
221.982, 129.483, 8.334, 22.026 False
221.149, 129.463, 8.339, 22.068 False
220.797, 129.459, 8.336, 22.182 False
219.963, 129.463, 8.331, 22.226 False
219.599, 129.467, 8.334, 22.345 False
218.765, 129.482, 8.338, 22.389 False
218.397, 129.485, 8.336, 22.507 False
217.564, 129.479, 8.332, 22.683 False
216.731, 129.486, 8.331, 22.806 False
215.899, 129.514, 8.327, 22.850 False
215.532, 129.522, 8.327, 22.965 False
214.699, 129.520, 8.325, 23.011 False
214.317, 129.518, 8.332, 23.128 False
213.483, 129.507, 8.341, 23.171 False
213.122, 129.506, 8.339, 23.286 False
212.289, 129.519, 8.331, 23.331 False
211.916, 129.520, 8.329, 23.446 False
211.083, 129.508, 8.331, 23.491 False
210.712, 129.507, 8.331, 23.601 False
209.879, 129.520, 8.331, 23.645 False
209.515, 129.522, 8.331, 23.884 False
208.682, 129.508, 8.329, 23.925 False
208.341, 129.505, 8.330, 24.047 False
207.508, 129.517, 8.331, 24.093 False
207.124, 129.517, 8.331, 24.207 False
206.291, 129.501, 8.331, 24.250 False
205.932, 129.499, 8.330, 24.367 False
205.099, 129.512, 8.330, 24.408 False
204.758, 129.514, 8.331, 24.518 False
203.925, 129.501, 8.331, 24.562 False
203.557, 129.499, 8.332, 24.675 False
202.724, 129.513, 8.331, 24.720 False
202.348, 129.516, 8.332, 24.838 False
201.515, 129.504, 8.333, 25.003 False
200.681, 129.507, 8.336, 25.119 False
199.848, 129.531, 8.332, 25.163 False
199.482, 129.538, 8.330, 25.275 False
198.650, 129.532, 8.327, 25.316 False
198.305, 129.528, 8.334, 25.426 False
197.471, 129.513, 8.344, 25.468 False
